Time	Nb detections 1	Nb detections 2	% of 1 (center of mass) inside masks 2	p-value (1 inside masks 2, Analytical)	log p-value (1 inside masks 2)	Ripley step	Ripley r_max	Max. of the K function	p-value (SODA)	log_10(p-value)	% (fit of K function) of 2 coloc. with 1	Distance of Coloc. (fit)	% (SODA) of 2 coloc. with 1	Distance of Coloc. (SODA)
0,00	79,00	35,00	0,00	0,85	-0,07	1,00	5,00	21,66	0,00	-102,95	1,00	4,25	1,29	4,59
1,00	61,00	36,00	0,00	0,86	-0,07	1,00	5,00	21,36	0,00	-100,09	1,00	4,25	1,12	4,51
2,00	76,00	38,00	0,00	0,86	-0,07	1,00	5,00	20,16	0,00	-89,23	1,00	4,05	1,29	4,41
3,00	63,00	38,00	0,00	0,85	-0,07	1,00	5,00	16,49	0,00	-59,95	1,00	4,20	1,07	4,35
4,00	73,00	35,00	0,00	0,84	-0,07	1,00	5,00	17,85	0,00	-70,10	1,00	4,25	1,16	4,34
5,00	69,00	38,00	0,00	0,86	-0,07	1,00	5,00	16,02	0,00	-56,61	1,00	4,15	1,16	4,32
6,00	64,00	31,00	0,00	0,85	-0,07	1,00	5,00	16,90	0,00	-62,91	1,00	4,20	1,21	4,33
7,00	75,00	38,00	0,00	0,85	-0,07	1,00	5,00	20,78	0,00	-94,79	1,00	4,05	1,21	4,50
8,00	73,00	34,00	0,00	0,85	-0,07	1,00	5,00	15,44	0,00	-52,65	1,00	4,10	1,22	4,31
9,00	66,00	35,00	0,00	0,85	-0,07	1,00	5,00	18,84	0,00	-78,04	1,00	4,05	1,04	4,37
10,00	74,00	31,00	0,00	0,84	-0,07	1,00	5,00	15,90	0,00	-55,77	1,00	4,10	1,28	4,30
11,00	72,00	36,00	0,00	0,85	-0,07	1,00	5,00	19,75	0,00	-85,69	1,00	4,25	1,15	4,49
12,00	64,00	37,00	0,00	0,84	-0,07	1,00	5,00	18,81	0,00	-77,80	1,00	4,25	1,17	4,34
13,00	79,00	35,00	0,00	0,85	-0,07	1,00	5,00	17,01	0,00	-63,78	1,00	4,15	1,30	4,39
14,00	70,00	33,00	0,03	0,50	-0,30	1,00	5,00	15,48	0,00	-52,90	1,00	4,10	1,16	4,23
15,00	73,00	35,00	0,00	0,85	-0,07	1,00	5,00	18,14	0,00	-72,42	1,00	4,20	1,27	4,37
16,00	66,00	32,00	0,00	0,84	-0,08	1,00	5,00	13,72	0,00	-41,74	1,00	4,20	0,95	4,38
17,00	68,00	34,00	0,00	0,84	-0,07	1,00	5,00	17,35	0,00	-66,34	1,00	4,15	1,26	4,38
18,00	75,00	35,00	0,00	0,86	-0,07	1,00	5,00	15,31	0,00	-51,79	1,00	4,10	1,21	4,36
19,00	70,00	35,00	0,00	0,85	-0,07	1,00	5,00	18,22	0,00	-73,04	1,00	4,05	1,07	4,47
