Time	Nb detections 1	Nb detections 2	% of 1 (center of mass) inside masks 2	p-value (1 inside masks 2, Analytical)	log p-value (1 inside masks 2)	Ripley step	Ripley r_max	Max. of the K function	p-value (SODA)	log_10(p-value)	% (fit of K function) of 2 coloc. with 1	Distance of Coloc. (fit)	% (SODA) of 2 coloc. with 1	Distance of Coloc. (SODA)
0,00	31,00	20,00	0,20	0,00	-8,70	1,00	5,00	10,90	0,00	-26,56	1,00	2,70	0,96	2,71
1,00	25,00	15,00	0,27	0,00	-14,30	1,00	5,00	14,23	0,00	-44,83	0,75	1,75	0,76	2,51
2,00	21,00	15,00	0,13	0,00	-3,15	1,00	5,00	7,78	0,00	-13,74	1,00	3,10	0,68	2,52
3,00	16,00	13,00	0,38	0,00	-21,23	1,00	5,00	14,84	0,00	-48,71	0,61	1,30	0,62	1,93
4,00	24,00	17,00	0,47	0,00	-43,25	1,00	5,00	13,05	0,00	-37,80	1,00	2,15	0,79	2,63
5,00	22,00	15,00	0,13	0,00	-5,70	1,00	5,00	8,44	0,00	-16,09	0,83	2,35	0,69	2,54
6,00	26,00	16,00	0,19	0,00	-7,07	1,00	5,00	10,31	0,00	-23,79	1,00	2,45	0,81	2,28
7,00	19,00	12,00	0,08	0,04	-1,37	1,00	5,00	10,17	0,00	-23,16	0,84	2,10	0,70	2,17
8,00	35,00	23,00	0,17	0,00	-10,20	1,00	5,00	9,14	0,00	-18,80	0,92	2,20	0,80	3,10
9,00	30,00	17,00	0,35	0,00	-34,41	1,00	5,00	11,41	0,00	-29,04	1,00	2,10	0,89	2,48
10,00	26,00	31,00	0,16	0,00	-12,48	1,00	5,00	9,23	0,00	-19,16	1,00	3,40	0,71	3,17
11,00	31,00	29,00	0,24	0,00	-28,58	1,00	5,00	7,33	0,00	-12,25	0,85	2,70	0,64	2,23
12,00	19,00	30,00	0,20	0,00	-38,36	1,00	5,00	11,23	0,00	-28,11	0,77	2,40	0,62	3,05
13,00	19,00	21,00	0,33	0,00	-22,56	1,00	5,00	14,00	0,00	-43,42	1,00	2,55	0,75	2,67
14,00	20,00	20,00	0,30	0,00	-21,06	1,00	5,00	6,68	0,00	-10,21	0,79	2,85	0,69	2,72
15,00	21,00	18,00	0,28	0,00	-14,21	1,00	5,00	14,10	0,00	-44,04	0,99	2,20	0,80	2,80
16,00	18,00	23,00	0,17	0,00	-9,32	1,00	5,00	7,69	0,00	-13,42	0,82	2,80	0,63	2,76
17,00	27,00	17,00	0,06	0,02	-1,64	1,00	5,00	6,62	0,00	-10,04	0,52	2,00	0,58	3,16
18,00	27,00	26,00	0,15	0,00	-6,41	1,00	5,00	7,77	0,00	-13,69	1,00	4,45	0,55	2,74
19,00	25,00	23,00	0,22	0,00	-15,20	1,00	5,00	8,67	0,00	-16,96	1,00	2,65	0,75	2,53
