Time	Nb detections 1	Nb detections 2	% of 1 (center of mass) inside masks 2	p-value (1 inside masks 2, Analytical)	log p-value (1 inside masks 2)	Ripley step	Ripley r_max	Max. of the K function	p-value (SODA)	log_10(p-value)	% (fit of K function) of 2 coloc. with 1	Distance of Coloc. (fit)	% (SODA) of 2 coloc. with 1	Distance of Coloc. (SODA)
0,00	31,00	36,00	0,06	0,04	-1,36	1,00	5,00	7,81	0,00	-13,85	0,53	4,00	0,51	4,01
1,00	23,00	29,00	0,00	0,82	-0,09	1,00	5,00	6,32	0,00	-9,17	0,25	2,00	0,56	3,58
2,00	28,00	33,00	0,06	0,04	-1,37	1,00	5,00	7,44	0,00	-12,60	0,43	2,75	0,43	3,71
3,00	30,00	35,00	0,03	0,32	-0,50	1,00	5,00	8,53	0,00	-16,45	0,89	4,25	0,57	3,85
4,00	28,00	30,00	0,13	0,00	-4,34	1,00	5,00	7,64	0,00	-13,25	0,40	2,85	0,48	3,74
5,00	34,00	36,00	0,03	0,33	-0,48	1,00	5,00	5,39	0,00	-6,75	0,83	5,00	0,37	4,15
6,00	20,00	31,00	0,06	0,07	-1,19	1,00	5,00	5,22	0,00	-6,34	0,43	3,55	0,39	3,62
7,00	34,00	31,00	0,03	0,39	-0,41	1,00	5,00	8,54	0,00	-16,46	0,76	3,25	0,70	3,64
8,00	30,00	30,00	0,07	0,07	-1,15	1,00	5,00	6,69	0,00	-10,26	1,00	4,75	0,55	3,50
9,00	26,00	35,00	0,03	0,38	-0,42	1,00	5,00	11,01	0,00	-27,08	0,99	4,80	0,56	4,03
10,00	29,00	33,00	0,03	0,29	-0,53	1,00	5,00	9,00	0,00	-18,24	1,00	4,90	0,54	3,94
11,00	28,00	34,00	0,03	0,43	-0,36	1,00	5,00	7,84	0,00	-13,94	0,77	4,55	0,46	3,81
12,00	33,00	35,00	0,03	0,33	-0,49	1,00	5,00	9,23	0,00	-19,17	0,84	4,15	0,66	3,90
13,00	22,00	31,00	0,13	0,00	-4,22	1,00	5,00	5,94	0,00	-8,13	0,97	4,65	0,49	2,93
14,00	39,00	32,00	0,00	0,79	-0,10	1,00	5,00	6,04	0,00	-8,40	1,00	4,00	0,67	3,79
15,00	22,00	35,00	0,06	0,02	-1,72	1,00	5,00	7,49	0,00	-12,77	0,34	2,95	0,47	3,97
16,00	28,00	31,00	0,13	0,00	-4,81	1,00	5,00	6,24	0,00	-8,96	0,61	3,30	0,55	3,44
17,00	26,00	29,00	0,07	0,03	-1,46	1,00	5,00	8,14	0,00	-14,99	0,62	3,40	0,64	3,61
18,00	24,00	27,00	0,15	0,00	-3,66	1,00	5,00	7,00	0,00	-11,19	1,00	4,45	0,68	3,53
19,00	21,00	29,00	0,14	0,00	-4,01	1,00	5,00	6,20	0,00	-8,83	0,28	2,05	0,51	3,61
