Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0.00;92.00;90.00;0.02;0.24;-0.63;1.00;5.00;0.97;2.45;0.53;2.38;0.00;-14.77
1.00;96.00;98.00;0.04;0.01;-2.02;1.00;5.00;0.80;2.50;0.52;3.05;0.00;-10.73
2.00;91.00;101.00;0.04;0.00;-2.38;1.00;5.00;0.86;2.65;0.48;2.52;0.00;-14.49
3.00;104.00;90.00;0.02;0.24;-0.62;1.00;5.00;1.00;2.95;0.66;3.25;0.00;-17.14
4.00;97.00;90.00;0.08;0.00;-6.67;1.00;5.00;1.00;2.95;0.50;2.64;0.00;-9.16
5.00;94.00;87.00;0.09;0.00;-7.97;1.00;5.00;1.00;2.15;0.79;2.99;0.00;-14.98
6.00;87.00;100.00;0.09;0.00;-9.49;1.00;5.00;1.00;2.35;0.66;3.02;0.00;-20.01
7.00;90.00;93.00;0.11;0.00;-12.06;1.00;5.00;1.00;2.45;0.76;3.06;0.00;-12.57
8.00;91.00;107.00;0.12;0.00;-18.19;1.00;5.00;1.00;2.45;0.64;2.50;0.00;-13.04
9.00;87.00;90.00;0.09;0.00;-8.86;1.00;5.00;1.00;2.25;0.63;2.95;0.00;-23.70
10.00;100.00;98.00;0.02;0.24;-0.63;1.00;5.00;1.00;3.40;0.45;2.98;0.00;-12.42
11.00;93.00;96.00;0.04;0.00;-2.45;1.00;5.00;1.00;3.10;0.52;2.46;0.00;-21.03
12.00;89.00;90.00;0.09;0.00;-14.24;1.00;5.00;1.00;3.50;0.50;2.41;0.00;-13.89
13.00;94.00;86.00;0.07;0.00;-6.33;1.00;5.00;0.82;2.65;0.51;2.47;0.00;-9.34
14.00;94.00;90.00;0.04;0.00;-2.45;1.00;5.00;0.77;2.95;0.50;3.28;0.00;-5.06
15.00;89.00;69.00;0.19;0.00;-28.30;1.00;5.00;1.00;2.00;0.83;3.10;0.00;-11.70
16.00;96.00;81.00;0.11;0.00;-10.34;1.00;5.00;1.00;1.90;0.81;3.11;0.00;-22.25
17.00;83.00;91.00;0.12;0.00;-14.20;1.00;5.00;1.00;2.25;0.69;3.15;0.00;-15.28
18.00;82.00;80.00;0.15;0.00;-20.93;1.00;5.00;1.00;2.00;0.66;2.80;0.00;-35.19
19.00;90.00;83.00;0.22;0.00;-47.98;1.00;5.00;1.00;1.95;0.66;2.39;0.00;-19.21
