Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0.00;93.00;95.00;0.07;0.00;-6.96;1.00;5.00;1.00;3.45;0.49;3.19;0.00;-4.62
1.00;93.00;100.00;0.07;0.00;-6.68;1.00;5.00;1.00;3.20;0.54;3.15;0.00;-4.13
2.00;85.00;91.00;0.08;0.00;-6.57;1.00;5.00;0.84;2.80;0.49;2.72;0.00;-8.22
3.00;100.00;94.00;0.03;0.05;-1.26;1.00;5.00;0.74;2.55;0.50;3.26;0.00;-5.40
4.00;87.00;105.00;0.07;0.00;-6.47;1.00;5.00;0.59;2.05;0.36;1.87;0.00;-21.93
5.00;87.00;98.00;0.13;0.00;-17.29;1.00;5.00;1.00;2.50;0.59;2.95;0.00;-8.72
6.00;93.00;91.00;0.07;0.00;-3.94;1.00;5.00;0.96;2.50;0.58;2.58;0.00;-15.50
7.00;95.00;93.00;0.16;0.00;-26.99;1.00;5.00;1.00;2.75;0.58;3.07;0.00;-11.04
8.00;106.00;95.00;0.08;0.00;-7.02;1.00;5.00;1.00;2.30;0.69;3.03;0.00;-10.01
9.00;87.00;93.00;0.12;0.00;-13.07;1.00;5.00;1.00;2.65;0.62;3.08;0.00;-10.61
10.00;84.00;92.00;0.05;0.00;-3.89;1.00;5.00;0.61;3.20;0.33;3.29;0.00;-3.90
11.00;97.00;100.00;0.04;0.00;-2.74;1.00;5.00;0.72;2.65;0.46;2.57;0.00;-7.69
12.00;101.00;92.00;0.05;0.00;-3.77;1.00;5.00;0.81;3.30;0.44;3.34;0.00;-2.89
13.00;85.00;94.00;0.02;0.18;-0.74;1.00;5.00;0.75;2.90;0.46;3.20;0.00;-11.76
14.00;96.00;96.00;0.02;0.20;-0.71;1.00;5.00;0.86;3.25;0.48;3.27;0.00;-5.02
15.00;82.00;85.00;0.16;0.00;-25.26;1.00;5.00;1.00;2.40;0.79;3.16;0.00;-8.83
16.00;85.00;89.00;0.12;0.00;-14.22;1.00;5.00;1.00;2.25;0.64;2.88;0.00;-15.35
17.00;83.00;92.00;0.13;0.00;-16.25;1.00;5.00;1.00;2.70;0.66;3.20;0.00;-16.55
18.00;75.00;74.00;0.11;0.00;-9.27;1.00;5.00;1.00;2.30;0.71;2.64;0.00;-21.52
19.00;79.00;87.00;0.11;0.00;-11.09;1.00;5.00;1.00;2.50;0.77;3.10;0.00;-13.70
