Var1,Var2
4.22702699999999,4.52601028529535
4.20365799999999,4.80243323001315
4.191608,4.66192283017568
4.261895,4.66576457446808
4.058585,4.78921987804878
4.49677699999999,4.59477522638369
4.039772,4.79892648758151
4.422904,4.69624552367803
4.634331,4.48674800336331
4.85728099999999,4.08965524068451
4.062422,4.78899042937853
4.497863,4.51874087888935
4.31037,4.78973948405639
4.205672,4.4948668760585
4.28820199999999,4.54755280835755
4.33617,4.77773366844021
4.28561099999999,4.64551391373361
3.874182,4.96479509709146
4.331991,4.63958288699226
4.829201,4.29056791644357
