Time	Nb detections 1	Nb detections 2	% of 1 (center of mass) inside masks 2	p-value (1 inside masks 2, Analytical)	log p-value (1 inside masks 2)	Ripley step	Ripley r_max	Max. of the K function	p-value (SODA)	log_10(p-value)	% (fit of K function) of 2 coloc. with 1	Distance of Coloc. (fit)	% (SODA) of 2 coloc. with 1	Distance of Coloc. (SODA)
0,00	16,00	17,00	0,29	0,00	-20,14	1,00	5,00	11,21	0,00	-28,02	0,46	1,65	0,48	2,30
1,00	24,00	19,00	0,11	0,00	-4,39	1,00	5,00	6,85	0,00	-10,72	0,99	3,00	0,67	2,44
2,00	16,00	18,00	0,28	0,00	-17,08	1,00	5,00	11,20	0,00	-27,97	0,52	1,60	0,56	1,79
3,00	18,00	16,00	0,31	0,00	-19,63	1,00	5,00	12,59	0,00	-35,20	0,39	0,30	0,46	1,89
4,00	17,00	21,00	0,24	0,00	-9,65	1,00	5,00	16,24	0,00	-58,21	0,79	2,45	0,76	2,50
5,00	35,00	23,00	0,26	0,00	-14,05	1,00	5,00	10,43	0,00	-24,34	1,00	2,50	0,88	2,49
6,00	16,00	13,00	0,38	0,00	-21,37	1,00	5,00	14,85	0,00	-48,75	1,00	1,15	0,81	1,95
7,00	29,00	26,00	0,23	0,00	-16,93	1,00	5,00	8,08	0,00	-14,77	0,49	1,85	0,46	2,47
8,00	25,00	18,00	0,22	0,00	-8,69	1,00	5,00	11,39	0,00	-28,95	1,00	2,70	0,67	1,67
9,00	23,00	11,00	0,45	0,00	-29,19	1,00	5,00	22,21	0,00	-108,17	0,49	0,15	0,96	2,37
10,00	26,00	17,00	0,29	0,00	-21,45	1,00	5,00	7,93	0,00	-14,26	0,78	2,05	0,73	2,66
11,00	29,00	19,00	0,37	0,00	-53,74	1,00	5,00	8,83	0,00	-17,58	1,00	2,45	0,94	2,89
12,00	18,00	17,00	0,24	0,00	-11,53	1,00	5,00	11,93	0,00	-31,71	0,57	0,10	0,42	2,19
13,00	23,00	25,00	0,16	0,00	-5,13	1,00	5,00	7,64	0,00	-13,25	0,58	2,25	0,56	2,64
14,00	22,00	21,00	0,24	0,00	-15,48	1,00	5,00	10,42	0,00	-24,28	0,46	1,50	0,64	3,08
15,00	32,00	21,00	0,24	0,00	-15,54	1,00	5,00	9,52	0,00	-20,34	0,83	2,15	0,75	2,75
16,00	19,00	20,00	0,25	0,00	-13,27	1,00	5,00	9,74	0,00	-21,29	0,43	1,75	0,39	2,24
17,00	19,00	17,00	0,29	0,00	-11,81	1,00	5,00	11,52	0,00	-29,56	0,62	1,50	0,55	2,14
18,00	22,00	18,00	0,28	0,00	-16,18	1,00	5,00	9,10	0,00	-18,62	0,99	2,40	0,83	2,34
19,00	15,00	23,00	0,13	0,00	-6,73	1,00	5,00	7,94	0,00	-14,28	0,33	2,00	0,45	3,35
