Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0.00;99.00;98.00;0.07;0.00;-5.85;1.00;5.00;0.95;2.50;0.55;2.40;0.00;-13.35
1.00;95.00;102.00;0.04;0.02;-1.81;1.00;5.00;1.00;3.00;0.54;2.56;0.00;-10.13
2.00;98.00;92.00;0.04;0.01;-2.29;1.00;5.00;0.66;2.10;0.44;2.41;0.00;-17.19
3.00;97.00;88.00;0.08;0.00;-6.58;1.00;5.00;0.92;2.70;0.45;2.50;0.00;-7.96
4.00;100.00;97.00;0.06;0.00;-4.48;1.00;5.00;1.00;3.40;0.53;3.21;0.00;-5.11
5.00;99.00;94.00;0.12;0.00;-13.58;1.00;5.00;1.00;2.35;0.59;2.46;0.00;-9.11
6.00;88.00;101.00;0.07;0.00;-4.40;1.00;5.00;0.99;2.50;0.67;3.07;0.00;-14.63
7.00;94.00;91.00;0.13;0.00;-17.96;1.00;5.00;1.00;2.55;0.60;2.50;0.00;-10.68
8.00;89.00;106.00;0.06;0.00;-3.26;1.00;5.00;1.00;2.50;0.70;2.99;0.00;-12.00
9.00;86.00;94.00;0.13;0.00;-15.50;1.00;5.00;1.00;2.50;0.63;2.49;0.00;-14.05
10.00;86.00;98.00;0.09;0.00;-12.98;1.00;5.00;0.82;2.95;0.45;2.41;0.00;-10.97
11.00;92.00;93.00;0.04;0.00;-2.33;1.00;5.00;0.59;2.50;0.52;3.24;0.00;-7.34
12.00;99.00;95.00;0.04;0.00;-2.58;1.00;5.00;0.95;3.25;0.44;2.55;0.00;-6.87
13.00;94.00;98.00;0.04;0.00;-2.50;1.00;5.00;0.98;3.70;0.38;2.56;0.00;-6.43
14.00;84.00;89.00;0.04;0.00;-2.96;1.00;5.00;0.67;2.55;0.39;3.03;0.00;-7.68
15.00;100.00;83.00;0.14;0.00;-17.96;1.00;5.00;1.00;1.90;0.68;2.42;0.00;-17.38
16.00;80.00;88.00;0.18;0.00;-28.44;1.00;5.00;1.00;2.35;0.70;2.48;0.00;-26.08
17.00;73.00;89.00;0.25;0.00;-58.14;1.00;5.00;1.00;2.10;0.73;2.45;0.00;-33.53
18.00;81.00;70.00;0.09;0.00;-4.91;1.00;5.00;1.00;2.25;0.72;3.04;0.00;-13.22
19.00;92.00;88.00;0.16;0.00;-20.13;1.00;5.00;1.00;2.10;0.78;3.13;0.00;-13.30
