Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0.00;60.00;72.00;0.04;0.00;-5.63;1.00;5.00;0.79;3.05;0.44;2.46;0.00;-12.28
1.00;54.00;51.00;0.00;0.69;-0.16;1.00;5.00;0.50;2.55;0.29;2.59;0.00;-3.78
2.00;59.00;59.00;0.03;0.00;-2.93;1.00;5.00;0.52;2.75;0.36;2.55;0.00;-4.44
3.00;57.00;60.00;0.00;0.70;-0.15;1.00;5.00;0.52;2.35;0.29;2.44;0.00;-5.57
4.00;56.00;58.00;0.02;0.10;-0.99;1.00;5.00;0.50;2.30;0.45;3.09;0.00;-7.47
5.00;52.00;52.00;0.04;0.00;-3.15;1.00;5.00;0.52;2.40;0.37;2.43;0.00;-7.56
6.00;48.00;58.00;0.00;0.69;-0.16;1.00;5.00;1.00;3.25;0.56;3.07;0.00;-12.38
7.00;66.00;47.00;0.02;0.10;-0.98;1.00;5.00;0.76;2.20;0.40;1.90;0.00;-13.87
8.00;55.00;59.00;0.07;0.00;-11.38;1.00;5.00;0.98;3.70;0.36;2.10;0.00;-20.54
9.00;55.00;49.00;0.00;0.71;-0.15;1.00;5.00;0.73;2.35;0.48;2.48;0.00;-9.91
10.00;72.00;51.00;0.02;0.09;-1.02;1.00;5.00;0.62;2.30;0.36;1.99;0.00;-6.48
11.00;57.00;61.00;0.03;0.00;-3.55;1.00;5.00;0.80;3.20;0.54;3.16;0.00;-8.04
12.00;59.00;59.00;0.05;0.00;-5.51;1.00;5.00;0.84;4.55;0.33;3.03;0.00;-7.83
13.00;51.00;60.00;0.02;0.09;-1.05;1.00;5.00;0.56;3.25;0.39;3.21;0.00;-4.34
14.00;53.00;62.00;0.00;0.71;-0.15;1.00;5.00;0.28;2.10;0.26;2.45;0.00;-4.48
15.00;51.00;53.00;0.02;0.07;-1.14;1.00;5.00;0.97;3.00;0.50;2.73;0.00;-11.47
16.00;55.00;49.00;0.04;0.00;-3.39;1.00;5.00;0.98;2.80;0.58;3.01;0.00;-9.75
17.00;59.00;47.00;0.06;0.00;-7.00;1.00;5.00;1.00;2.60;0.59;2.64;0.00;-10.28
18.00;54.00;45.00;0.07;0.00;-7.25;1.00;5.00;0.98;2.45;0.57;2.36;0.00;-14.21
19.00;45.00;45.00;0.07;0.00;-9.86;1.00;5.00;0.99;2.80;0.61;2.92;0.00;-7.88
