Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0.00;89.00;88.00;0.07;0.00;-6.51;1.00;5.00;0.98;2.50;0.58;2.38;0.00;-13.82
1.00;94.00;92.00;0.04;0.00;-2.31;1.00;5.00;0.78;2.20;0.63;3.09;0.00;-18.87
2.00;93.00;99.00;0.07;0.00;-8.21;1.00;5.00;0.87;2.15;0.58;2.32;0.00;-28.11
3.00;104.00;99.00;0.08;0.00;-8.25;1.00;5.00;1.00;2.40;0.63;2.46;0.00;-13.34
4.00;102.00;95.00;0.04;0.01;-1.87;1.00;5.00;0.99;2.70;0.56;3.15;0.00;-8.34
5.00;94.00;88.00;0.14;0.00;-17.52;1.00;5.00;1.00;2.30;0.62;2.49;0.00;-10.20
6.00;96.00;88.00;0.16;0.00;-21.86;1.00;5.00;0.99;2.00;0.70;2.74;0.00;-22.47
7.00;90.00;101.00;0.10;0.00;-9.57;1.00;5.00;1.00;2.10;0.63;2.34;0.00;-38.76
8.00;91.00;96.00;0.17;0.00;-28.86;1.00;5.00;1.00;2.20;0.72;2.88;0.00;-21.33
9.00;84.00;90.00;0.14;0.00;-18.95;1.00;5.00;1.00;2.50;0.55;2.45;0.00;-13.04
10.00;92.00;100.00;0.04;0.00;-2.57;1.00;5.00;0.70;2.20;0.55;2.50;0.00;-18.24
11.00;97.00;91.00;0.05;0.00;-4.36;1.00;5.00;0.70;2.25;0.49;2.49;0.00;-13.74
12.00;99.00;97.00;0.06;0.00;-5.86;1.00;5.00;0.58;1.95;0.39;2.38;0.00;-19.67
13.00;88.00;82.00;0.04;0.02;-1.82;1.00;5.00;0.63;2.15;0.36;2.01;0.00;-14.01
14.00;88.00;93.00;0.08;0.00;-6.75;1.00;5.00;0.93;2.45;0.68;2.44;0.00;-18.90
15.00;84.00;88.00;0.16;0.00;-25.95;1.00;5.00;1.00;2.00;0.77;3.00;0.00;-23.29
16.00;75.00;86.00;0.16;0.00;-21.72;1.00;5.00;1.00;2.15;0.72;2.78;0.00;-21.45
17.00;85.00;76.00;0.08;0.00;-4.25;1.00;5.00;1.00;2.20;0.78;2.99;0.00;-18.68
18.00;91.00;77.00;0.14;0.00;-19.21;1.00;5.00;1.00;2.00;0.66;2.92;0.00;-13.52
19.00;83.00;87.00;0.13;0.00;-12.63;1.00;5.00;1.00;2.15;0.68;2.51;0.00;-22.65
