Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0.00;90.00;89.00;0.09;0.00;-11.09;1.00;5.00;1.00;3.00;0.52;2.36;0.00;-12.14
1.00;102.00;92.00;0.08;0.00;-7.16;1.00;5.00;1.00;2.60;0.64;3.00;0.00;-8.86
2.00;104.00;96.00;0.07;0.00;-7.55;1.00;5.00;0.96;2.35;0.54;2.42;0.00;-13.08
3.00;91.00;85.00;0.09;0.00;-12.14;1.00;5.00;1.00;2.50;0.53;1.92;0.00;-16.23
4.00;100.00;91.00;0.09;0.00;-10.01;1.00;5.00;1.00;2.65;0.58;3.12;0.00;-8.98
5.00;96.00;86.00;0.10;0.00;-10.35;1.00;5.00;1.00;2.25;0.66;2.45;0.00;-20.04
6.00;100.00;86.00;0.15;0.00;-25.66;1.00;5.00;1.00;2.15;0.59;2.31;0.00;-29.98
7.00;96.00;95.00;0.16;0.00;-30.94;1.00;5.00;1.00;2.05;0.59;1.85;0.00;-20.04
8.00;86.00;91.00;0.14;0.00;-19.32;1.00;5.00;1.00;2.20;0.71;2.35;0.00;-19.80
9.00;93.00;93.00;0.09;0.00;-7.11;1.00;5.00;1.00;2.20;0.65;2.42;0.00;-15.17
10.00;94.00;94.00;0.06;0.00;-5.47;1.00;5.00;0.95;2.55;0.42;1.74;0.00;-11.03
11.00;96.00;91.00;0.09;0.00;-8.78;1.00;5.00;0.79;2.35;0.53;2.29;0.00;-12.24
12.00;97.00;96.00;0.08;0.00;-10.19;1.00;5.00;0.85;2.40;0.44;1.83;0.00;-11.93
13.00;101.00;94.00;0.07;0.00;-7.75;1.00;5.00;0.82;2.25;0.56;2.28;0.00;-15.56
14.00;92.00;86.00;0.01;0.49;-0.31;1.00;5.00;0.75;2.40;0.51;2.49;0.00;-15.72
15.00;79.00;91.00;0.12;0.00;-13.48;1.00;5.00;1.00;2.40;0.79;3.11;0.00;-16.21
16.00;81.00;81.00;0.16;0.00;-22.65;1.00;5.00;1.00;2.10;0.70;2.48;0.00;-21.72
17.00;89.00;78.00;0.17;0.00;-22.74;1.00;5.00;1.00;2.25;0.79;3.13;0.00;-17.07
18.00;77.00;79.00;0.18;0.00;-27.97;1.00;5.00;1.00;2.15;0.79;3.06;0.00;-16.24
19.00;86.00;87.00;0.17;0.00;-26.49;1.00;5.00;1.00;2.25;0.84;3.12;0.00;-10.60
