Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0.00;54.00;59.00;0.03;0.00;-3.42;1.00;5.00;0.66;2.95;0.45;3.09;0.00;-3.77
1.00;53.00;63.00;0.00;0.70;-0.16;1.00;5.00;0.58;2.00;0.59;2.42;0.00;-32.22
2.00;54.00;71.00;0.04;0.00;-5.21;1.00;5.00;0.83;3.30;0.43;2.51;0.00;-8.32
3.00;59.00;57.00;0.00;0.71;-0.15;1.00;5.00;0.62;2.60;0.49;2.59;0.00;-8.43
4.00;61.00;61.00;0.05;0.00;-4.28;1.00;5.00;0.72;2.60;0.49;2.40;0.00;-9.43
5.00;59.00;56.00;0.05;0.00;-5.19;1.00;5.00;0.98;2.50;0.75;2.96;0.00;-13.27
6.00;56.00;54.00;0.07;0.00;-10.47;1.00;5.00;1.00;3.45;0.59;3.07;0.00;-5.70
7.00;45.00;56.00;0.04;0.00;-3.42;1.00;5.00;0.57;2.55;0.43;3.17;0.00;-7.37
8.00;47.00;51.00;0.02;0.07;-1.16;1.00;5.00;0.65;2.25;0.48;2.47;0.00;-15.79
9.00;62.00;50.00;0.02;0.07;-1.16;1.00;5.00;0.95;2.45;0.61;2.37;0.00;-17.79
10.00;50.00;57.00;0.00;0.68;-0.17;1.00;5.00;0.55;2.55;0.34;2.50;0.00;-6.45
11.00;55.00;65.00;0.03;0.00;-2.48;1.00;5.00;0.49;2.30;0.36;2.44;0.00;-8.34
12.00;60.00;69.00;0.00;0.70;-0.15;1.00;5.00;0.52;2.70;0.29;2.52;0.00;-4.54
13.00;67.00;58.00;0.00;0.72;-0.14;1.00;5.00;0.46;2.10;0.44;2.94;0.00;-8.05
14.00;59.00;50.00;0.06;0.00;-7.02;1.00;5.00;0.48;2.05;0.59;3.05;0.00;-7.77
15.00;52.00;55.00;0.04;0.00;-3.23;1.00;5.00;0.81;2.15;0.60;2.54;0.00;-26.85
16.00;45.00;52.00;0.04;0.00;-5.11;1.00;5.00;1.00;3.05;0.49;2.57;0.00;-12.32
17.00;41.00;54.00;0.09;0.00;-23.60;1.00;5.00;1.00;3.00;0.60;2.65;0.00;-21.47
18.00;49.00;59.00;0.07;0.00;-11.68;1.00;5.00;1.00;3.05;0.65;3.10;0.00;-27.54
19.00;50.00;57.00;0.02;0.08;-1.12;1.00;5.00;0.99;3.15;0.49;3.22;0.00;-30.26
