Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0.00;63.00;55.00;0.04;0.00;-3.05;1.00;5.00;0.41;2.40;0.31;2.57;0.00;-3.14
1.00;56.00;72.00;0.01;0.15;-0.82;1.00;5.00;0.55;3.10;0.41;3.46;0.00;-8.55
2.00;52.00;64.00;0.03;0.00;-3.10;1.00;5.00;0.37;2.35;0.32;2.96;0.00;-4.62
3.00;71.00;52.00;0.04;0.00;-2.72;1.00;5.00;0.61;2.85;0.32;2.95;0.00;-2.71
4.00;67.00;63.00;0.05;0.00;-4.91;1.00;5.00;0.48;2.15;0.44;3.01;0.00;-7.66
5.00;53.00;53.00;0.02;0.08;-1.12;1.00;5.00;0.84;3.70;0.43;3.56;0.00;-4.89
6.00;58.00;55.00;0.07;0.00;-11.24;1.00;5.00;0.91;2.80;0.48;2.05;0.00;-25.19
7.00;47.00;48.00;0.02;0.03;-1.52;1.00;5.00;0.52;3.00;0.39;3.20;0.00;-2.85
8.00;59.00;60.00;0.00;0.72;-0.14;1.00;5.00;0.39;2.05;0.36;2.88;0.00;-6.99
9.00;60.00;58.00;0.02;0.13;-0.88;1.00;5.00;0.63;2.75;0.40;3.16;0.00;-2.91
10.00;63.00;56.00;0.04;0.00;-2.57;1.00;5.00;0.40;2.10;0.22;1.81;0.00;-5.69
11.00;58.00;58.00;0.00;0.70;-0.16;1.00;5.00;0.33;2.10;0.36;2.62;0.00;-4.19
12.00;53.00;54.00;0.00;0.68;-0.17;1.00;5.00;0.98;4.50;0.34;3.02;0.00;-6.78
13.00;57.00;79.00;0.03;0.01;-2.28;1.00;5.00;0.34;2.45;0.16;1.92;0.00;-2.79
14.00;65.00;67.00;0.06;0.00;-8.50;1.00;5.00;0.54;3.70;0.26;3.48;0.00;-3.05
15.00;53.00;46.00;0.04;0.00;-3.74;1.00;5.00;1.00;3.00;0.54;2.80;0.00;-11.66
16.00;60.00;58.00;0.03;0.01;-2.28;1.00;5.00;1.00;3.05;0.63;3.03;0.00;-11.29
17.00;46.00;50.00;0.02;0.06;-1.23;1.00;5.00;0.98;3.40;0.56;3.32;0.00;-5.19
18.00;52.00;42.00;0.05;0.00;-4.48;1.00;5.00;0.91;2.40;0.62;2.55;0.00;-14.49
19.00;55.00;42.00;0.05;0.00;-4.14;1.00;5.00;1.00;2.70;0.59;2.87;0.00;-10.22
