Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0.00;97.00;112.00;0.11;0.00;-16.64;1.00;5.00;1.00;2.85;0.50;2.36;0.00;-9.57
1.00;90.00;89.00;0.03;0.03;-1.51;1.00;5.00;0.96;2.95;0.55;2.53;0.00;-8.02
2.00;92.00;109.00;0.10;0.00;-17.49;1.00;5.00;0.97;2.85;0.55;3.02;0.00;-7.17
3.00;94.00;106.00;0.04;0.01;-2.27;1.00;5.00;0.98;3.20;0.42;2.55;0.00;-7.54
4.00;91.00;95.00;0.08;0.00;-10.38;1.00;5.00;0.96;2.80;0.47;2.83;0.00;-9.69
5.00;94.00;99.00;0.07;0.00;-5.05;1.00;5.00;1.00;2.60;0.71;3.13;0.00;-12.09
6.00;98.00;96.00;0.09;0.00;-8.46;1.00;5.00;1.00;2.40;0.72;3.07;0.00;-14.24
7.00;100.00;90.00;0.12;0.00;-16.43;1.00;5.00;1.00;2.35;0.58;2.86;0.00;-9.55
8.00;86.00;96.00;0.13;0.00;-15.69;1.00;5.00;1.00;2.55;0.67;3.07;0.00;-9.23
9.00;92.00;91.00;0.05;0.00;-3.36;1.00;5.00;1.00;2.75;0.70;3.27;0.00;-9.60
10.00;94.00;89.00;0.03;0.03;-1.58;1.00;5.00;0.65;2.70;0.36;2.61;0.00;-4.88
11.00;90.00;106.00;0.02;0.15;-0.83;1.00;5.00;0.76;3.10;0.39;3.21;0.00;-5.05
12.00;93.00;91.00;0.05;0.00;-3.94;1.00;5.00;0.66;2.50;0.49;3.00;0.00;-8.06
13.00;93.00;102.00;0.06;0.00;-5.97;1.00;5.00;0.91;3.85;0.39;3.35;0.00;-2.96
14.00;84.00;96.00;0.01;0.46;-0.34;1.00;5.00;0.88;3.90;0.44;3.68;0.00;-5.21
15.00;82.00;86.00;0.08;0.00;-4.85;1.00;5.00;1.00;2.30;0.78;3.14;0.00;-18.44
16.00;83.00;82.00;0.15;0.00;-16.33;1.00;5.00;1.00;2.20;0.76;2.67;0.00;-22.68
17.00;84.00;86.00;0.21;0.00;-37.15;1.00;5.00;1.00;2.00;0.76;2.79;0.00;-24.79
18.00;76.00;83.00;0.13;0.00;-14.84;1.00;5.00;1.00;2.45;0.74;3.09;0.00;-11.29
19.00;84.00;75.00;0.15;0.00;-15.81;1.00;5.00;1.00;2.20;0.72;3.07;0.00;-18.41
