Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0.00;96.00;100.00;0.07;0.00;-5.92;1.00;5.00;0.99;2.90;0.57;3.15;0.00;-7.78
1.00;94.00;91.00;0.07;0.00;-4.81;1.00;5.00;0.64;2.40;0.52;3.25;0.00;-9.44
2.00;101.00;98.00;0.05;0.00;-2.82;1.00;5.00;1.00;3.70;0.46;3.42;0.00;-4.18
3.00;93.00;104.00;0.07;0.00;-5.76;1.00;5.00;1.00;3.50;0.43;2.72;0.00;-8.00
4.00;103.00;86.00;0.03;0.05;-1.31;1.00;5.00;0.99;2.70;0.53;2.47;0.00;-9.52
5.00;87.00;86.00;0.15;0.00;-21.91;1.00;5.00;1.00;2.45;0.66;3.19;0.00;-13.98
6.00;99.00;80.00;0.11;0.00;-11.06;1.00;5.00;1.00;2.45;0.65;3.09;0.00;-8.86
7.00;93.00;97.00;0.13;0.00;-17.02;1.00;5.00;1.00;2.55;0.71;3.20;0.00;-8.24
8.00;85.00;89.00;0.09;0.00;-7.85;1.00;5.00;1.00;2.70;0.61;3.06;0.00;-7.06
9.00;100.00;95.00;0.12;0.00;-13.18;1.00;5.00;1.00;2.50;0.71;3.18;0.00;-8.25
10.00;89.00;84.00;0.04;0.02;-1.63;1.00;5.00;1.00;4.35;0.32;2.59;0.00;-3.45
11.00;88.00;99.00;0.06;0.00;-5.18;1.00;5.00;0.96;3.85;0.40;2.67;0.00;-7.77
12.00;96.00;98.00;0.03;0.03;-1.53;1.00;5.00;0.73;2.90;0.47;3.29;0.00;-5.41
13.00;96.00;97.00;0.04;0.00;-2.46;1.00;5.00;1.00;4.05;0.46;3.43;0.00;-5.00
14.00;92.00;95.00;0.03;0.02;-1.76;1.00;5.00;0.86;3.25;0.35;2.57;0.00;-3.46
15.00;84.00;83.00;0.10;0.00;-6.85;1.00;5.00;1.00;2.40;0.68;2.54;0.00;-13.25
16.00;85.00;82.00;0.12;0.00;-13.03;1.00;5.00;1.00;2.25;0.80;3.20;0.00;-10.69
17.00;93.00;79.00;0.22;0.00;-39.54;1.00;5.00;1.00;1.95;0.66;3.08;0.00;-30.07
18.00;85.00;88.00;0.08;0.00;-5.78;1.00;5.00;1.00;2.45;0.71;3.19;0.00;-8.26
19.00;87.00;79.00;0.14;0.00;-17.51;1.00;5.00;1.00;2.05;0.65;2.40;0.00;-14.59
