Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0.00;94.00;91.00;0.11;0.00;-14.71;1.00;5.00;0.93;2.35;0.64;2.37;0.00;-16.98
1.00;92.00;96.00;0.08;0.00;-8.13;1.00;5.00;0.83;2.00;0.58;2.28;0.00;-30.34
2.00;91.00;94.00;0.07;0.00;-6.45;1.00;5.00;0.81;2.30;0.55;2.30;0.00;-16.65
3.00;89.00;91.00;0.04;0.00;-2.76;1.00;5.00;0.95;2.85;0.44;2.57;0.00;-14.51
4.00;93.00;95.00;0.14;0.00;-25.40;1.00;5.00;0.95;2.40;0.70;2.44;0.00;-21.57
5.00;103.00;82.00;0.10;0.00;-9.21;1.00;5.00;1.00;2.05;0.79;2.43;0.00;-21.32
6.00;93.00;94.00;0.17;0.00;-29.46;1.00;5.00;1.00;2.15;0.59;1.91;0.00;-18.06
7.00;82.00;106.00;0.08;0.00;-8.73;1.00;5.00;1.00;2.20;0.62;2.74;0.00;-24.41
8.00;90.00;88.00;0.13;0.00;-15.74;1.00;5.00;1.00;2.05;0.57;1.80;0.00;-26.57
9.00;85.00;97.00;0.11;0.00;-12.84;1.00;5.00;1.00;2.30;0.72;2.46;0.00;-29.92
10.00;92.00;98.00;0.06;0.00;-5.78;1.00;5.00;0.70;2.35;0.47;2.48;0.00;-12.38
11.00;87.00;92.00;0.10;0.00;-12.12;1.00;5.00;0.72;2.30;0.53;2.41;0.00;-18.76
12.00;102.00;96.00;0.06;0.00;-4.98;1.00;5.00;1.00;2.55;0.67;3.16;0.00;-10.81
13.00;93.00;86.00;0.06;0.00;-4.39;1.00;5.00;0.87;2.55;0.55;2.38;0.00;-12.20
14.00;91.00;91.00;0.08;0.00;-7.42;1.00;5.00;1.00;2.80;0.59;2.40;0.00;-25.97
15.00;88.00;80.00;0.18;0.00;-25.44;1.00;5.00;1.00;1.95;0.80;2.92;0.00;-18.36
16.00;94.00;84.00;0.17;0.00;-22.93;1.00;5.00;1.00;2.10;0.78;2.47;0.00;-21.67
17.00;86.00;82.00;0.17;0.00;-25.61;1.00;5.00;1.00;2.20;0.74;2.87;0.00;-35.67
18.00;87.00;78.00;0.12;0.00;-10.13;1.00;5.00;1.00;2.10;0.66;2.48;0.00;-11.04
19.00;82.00;93.00;0.11;0.00;-10.54;1.00;5.00;1.00;2.20;0.67;2.45;0.00;-14.86
