Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0.00;58.00;48.00;0.08;0.00;-12.39;1.00;5.00;0.96;2.65;0.68;2.96;0.00;-19.56
1.00;52.00;55.00;0.04;0.00;-3.88;1.00;5.00;0.99;3.50;0.41;2.66;0.00;-13.01
2.00;59.00;65.00;0.06;0.00;-9.30;1.00;5.00;0.85;2.40;0.58;2.34;0.00;-16.60
3.00;61.00;60.00;0.02;0.12;-0.92;1.00;5.00;0.72;2.10;0.63;2.34;0.00;-23.68
4.00;51.00;57.00;0.02;0.09;-1.05;1.00;5.00;0.82;2.50;0.62;2.41;0.00;-33.68
5.00;51.00;58.00;0.00;0.70;-0.16;1.00;5.00;0.64;2.05;0.57;2.38;0.00;-28.93
6.00;55.00;62.00;0.00;0.69;-0.16;1.00;5.00;0.75;2.15;0.67;2.86;0.00;-19.05
7.00;57.00;60.00;0.05;0.00;-6.56;1.00;5.00;0.98;2.40;0.72;2.34;0.00;-17.83
8.00;54.00;53.00;0.11;0.00;-25.57;1.00;5.00;0.96;2.15;0.73;2.70;0.00;-25.26
9.00;63.00;51.00;0.04;0.00;-3.18;1.00;5.00;0.96;2.55;0.53;2.12;0.00;-23.91
10.00;52.00;65.00;0.00;0.70;-0.16;1.00;5.00;0.72;2.55;0.45;2.09;0.00;-27.69
11.00;53.00;57.00;0.05;0.00;-7.61;1.00;5.00;0.66;2.30;0.51;2.41;0.00;-14.43
12.00;51.00;55.00;0.00;0.69;-0.16;1.00;5.00;0.61;2.85;0.31;2.44;0.00;-4.65
13.00;44.00;55.00;0.00;0.66;-0.18;1.00;5.00;0.51;2.05;0.48;2.60;0.00;-15.15
14.00;57.00;53.00;0.06;0.00;-8.21;1.00;5.00;0.69;2.20;0.45;1.77;0.00;-11.75
15.00;40.00;44.00;0.02;0.02;-1.67;1.00;5.00;0.78;2.20;0.58;2.39;0.00;-24.03
16.00;50.00;67.00;0.04;0.00;-5.15;1.00;5.00;1.00;2.70;0.57;2.55;0.00;-26.30
17.00;54.00;53.00;0.04;0.00;-3.81;1.00;5.00;1.00;2.40;0.73;2.59;0.00;-21.22
18.00;46.00;52.00;0.04;0.00;-3.68;1.00;5.00;1.00;2.35;0.67;2.32;0.00;-16.44
19.00;54.00;45.00;0.07;0.00;-7.66;1.00;5.00;0.99;2.40;0.70;2.42;0.00;-15.80
