Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
0.00;66.00;66.00;0.03;0.00;-2.58;1.00;5.00;1.00;3.15;0.53;2.86;0.00;-13.04
1.00;65.00;45.00;0.00;0.68;-0.17;1.00;5.00;0.62;2.15;0.57;2.48;0.00;-10.31
2.00;57.00;60.00;0.00;0.72;-0.14;1.00;5.00;0.84;3.00;0.50;2.63;0.00;-18.23
3.00;55.00;53.00;0.02;0.11;-0.94;1.00;5.00;0.56;2.25;0.50;2.41;0.00;-11.20
4.00;47.00;64.00;0.03;0.00;-3.43;1.00;5.00;0.57;2.30;0.41;2.42;0.00;-10.98
5.00;64.00;57.00;0.00;0.72;-0.14;1.00;5.00;0.94;2.75;0.57;2.66;0.00;-9.23
6.00;55.00;57.00;0.02;0.09;-1.02;1.00;5.00;0.74;2.25;0.53;2.32;0.00;-14.66
7.00;54.00;55.00;0.09;0.00;-21.82;1.00;5.00;1.00;2.95;0.58;2.57;0.00;-23.73
8.00;50.00;56.00;0.02;0.05;-1.31;1.00;5.00;1.00;3.35;0.48;2.46;0.00;-16.46
9.00;58.00;58.00;0.03;0.00;-2.41;1.00;5.00;1.00;3.00;0.62;2.71;0.00;-22.30
10.00;58.00;53.00;0.06;0.00;-7.10;1.00;5.00;0.60;2.20;0.52;2.74;0.00;-12.14
11.00;68.00;55.00;0.02;0.10;-0.98;1.00;5.00;0.76;2.80;0.59;2.62;0.00;-12.24
12.00;63.00;61.00;0.02;0.10;-0.99;1.00;5.00;0.52;2.50;0.44;2.95;0.00;-12.03
13.00;64.00;61.00;0.00;0.72;-0.14;1.00;5.00;0.78;2.80;0.52;2.62;0.00;-18.31
14.00;60.00;60.00;0.05;0.00;-6.00;1.00;5.00;0.66;2.80;0.40;2.44;0.00;-4.13
15.00;52.00;50.00;0.06;0.00;-8.60;1.00;5.00;0.97;2.55;0.53;2.31;0.00;-10.20
16.00;45.00;51.00;0.02;0.06;-1.25;1.00;5.00;0.82;2.35;0.63;2.91;0.00;-17.02
17.00;50.00;56.00;0.04;0.00;-2.96;1.00;5.00;1.00;2.95;0.59;2.51;0.00;-13.01
18.00;51.00;52.00;0.04;0.00;-3.26;1.00;5.00;1.00;2.70;0.43;1.89;0.00;-9.88
19.00;51.00;52.00;0.02;0.06;-1.20;1.00;5.00;1.00;2.60;0.63;2.48;0.00;-40.80
