"x","y","z","intensity"
49.25,125.25,0,111.125
78.2,123.6,0,110
110.333333333333,122.888888888889,0,106.444444444444
67,122.5,0,120.25
59,122,0,104.555555555556
102,121,0,104
41,121,0,94.4285714285714
86.2,119,0,115.2
43,112,0,101.444444444444
29,110,0,101.6
23.2857142857143,110,0,113.285714285714
16.8333333333333,110.166666666667,0,89.8333333333333
84,107,0,95.5555555555556
8.125,100.875,0,102.25
112.875,99.875,0,91.375
103.125,99.125,0,93.75
49.125,97.875,0,105.75
3.875,95.875,0,108
37,95,0,104.888888888889
98,93.5,0,113.666666666667
24.875,93.125,0,106.875
12,93,0,93.5555555555556
63.125,92.125,0,96.75
78.3333333333333,87.2222222222222,0,98.8888888888889
108.875,86.125,0,100.375
89.125,85.875,0,100.5
37.3333333333333,85.1111111111111,0,106.666666666667
63.5,83.5,0,115.5
42.125,84.125,0,108.25
32.125,79.875,0,104.75
89,78,0,107.666666666667
69.125,77.875,0,107.5
63,78,0,121.076923076923
50,77,0,105.777777777778
17.875,76.875,0,102.5
1,72.1666666666667,0,112.833333333333
102,69,0,108.777777777778
126,68,0,105.285714285714
88.5,67.7142857142857,0,133.285714285714
61,65,0,114
43.6666666666667,63.1111111111111,0,104.888888888889
27.5,63,0,98.3333333333333
65.125,61.875,0,99
10,62,0,101.714285714286
59.3333333333333,59.6666666666667,0,111.333333333333
53.7857142857143,59.3571428571429,0,118.571428571429
121.909090909091,58.6363636363636,0,97.4545454545455
10.8333333333333,57.8333333333333,0,107.833333333333
76,54,0,104.777777777778
67,53.2857142857143,0,108.285714285714
62.7142857142857,53,0,106.571428571429
44.7142857142857,49,0,111.285714285714
75.6666666666667,46.8888888888889,0,106.777777777778
2.125,47.125,0,108.375
64.875,46.125,0,100.625
41.125,46.125,0,103.375
94.875,45.125,0,105.875
43.5,42.5,0,100.75
108,39,0,104.142857142857
61.7142857142857,38,0,102.285714285714
32,36,0,100.222222222222
111.3,34.9,0,119.9
46.8888888888889,34.3333333333333,0,96.8888888888889
96,32,0,109.777777777778
56.875,27.875,0,111.625
12.8125,29.875,0,121.0625
6.8,27.4,0,109.2
110.4,27.2,0,100.8
78,27,0,104
71.7142857142857,27,0,105.142857142857
27,27,0,97.2222222222222
118.166666666667,26.1666666666667,0,102.333333333333
62.6,25.8,0,93.8
40,26,0,102.555555555556
5,22,0,108.428571428571
15.875,16.125,0,105.25
110.125,12.125,0,106.5
65.5,13,0,127.0625
38,11,0,104.714285714286
96.2,10,0,107.2
48.7142857142857,9,0,108.285714285714
85.2857142857143,8,0,107.714285714286
34,7.71428571428571,0,106.285714285714
0.25,8,0,98.5
111.333333333333,6.66666666666667,0,120
26.125,5.875,0,98.875
107,5.28571428571429,0,107.142857142857
41.125,5.125,0,104.375
78.875,3.875,0,118
18.1666666666667,1.83333333333333,0,115
109.2,0.4,0,117
11,0.5,0,119.166666666667
