"x","y","z","intensity"
96.7142857142857,121.142857142857,0,114
11.4,121.2,0,125.6
16.125,117.875,0,113
91.1666666666667,116.166666666667,0,115
85.8333333333333,116.166666666667,0,115.833333333333
75.8,116,0,119.7
29.125,116.125,0,116.625
105,111,0,112.888888888889
43,108.5,0,119.666666666667
111,104,0,109.888888888889
91,101.285714285714,0,115.428571428571
43,101,0,114.777777777778
33,101,0,131.777777777778
103.714285714286,99,0,124.285714285714
76.8333333333333,98.1666666666667,0,117.5
86,96.2857142857143,0,109.857142857143
23.1538461538462,96.2307692307692,0,125.230769230769
94.75,93,0,100.25
48.8333333333333,93.1666666666667,0,119.666666666667
99.2857142857143,92,0,114.571428571429
64.7142857142857,91,0,106.428571428571
83.125,88.875,0,103.875
49.4,85.8,0,117.6
3,84,0,148.230769230769
104.5,83.5,0,157.416666666667
101.4,79.2,0,128.8
30.5,76.5,0,127.25
25.7142857142857,77,0,121.857142857143
77,76,0,114.222222222222
106,75.2857142857143,0,114.571428571429
14,75,0,121.222222222222
80.4,65.6,0,135.95
13.125,62.125,0,115.125
56.7142857142857,60.5,0,145.071428571429
29,58.7142857142857,0,110.571428571429
80.7857142857143,57.8571428571429,0,123.571428571429
113,55,0,122.555555555556
42.125,53.875,0,114.5
89.875,53.125,0,117.25
45.8333333333333,51.1666666666667,0,123.333333333333
97.2857142857143,49,0,110.571428571429
25,49,0,121.888888888889
121,47,0,116.777777777778
85,46,0,115.666666666667
55,43.7142857142857,0,118.571428571429
42.7142857142857,41,0,115.285714285714
66,40,0,121.777777777778
50.8,39.4,0,119.6
121.875,39.125,0,110.875
82,36.7142857142857,0,118
15.5,34.5,0,125.5
48.875,34.125,0,124.25
82.5,32.5,0,121.5
22.2857142857143,33,0,116.857142857143
72.875,31.875,0,112.125
92,30.7142857142857,0,110
112.833333333333,30.1666666666667,0,107.166666666667
35,30.8571428571429,0,129.214285714286
97.6,28.8,0,102.8
11.7142857142857,29,0,116.285714285714
44,28,0,113.666666666667
22,25,0,124.222222222222
5.25,25,0,134.25
0.625,25.125,0,173.875
35.8333333333333,23.8333333333333,0,129.166666666667
41.2,22.6,0,116.4
107.5,22,0,126.833333333333
66.1111111111111,20.3333333333333,0,124.333333333333
47.7692307692308,14,0,125.153846153846
127,10,0,158
87,11,0,110.333333333333
24.875,11.125,0,122.375
66.875,9.125,0,113.875
113.875,8.125,0,115.75
33.125,7.875,0,124.375
121.6875,5.875,0,147.625
106,5,0,113.857142857143
55,1,0,124
86,2.63157894736842,0,156.894736842105
77.5,1,0,122.333333333333
60,0.5,0,126.333333333333
33,0.25,0,135.75
27,0,0,120.333333333333
